ticket_id,customer_id,issue_category,description,sentiment,priority
TKT-289699,C00008,Integration,"Terrible experience, not working as expected.",Negative,Medium
TKT-937275,C00009,Account,"Terrible experience, not working as expected.",Neutral,Low
TKT-810907,C00009,Integration,"Terrible experience, not working as expected.",Negative,Medium
TKT-861881,C00009,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-381413,C00009,Account,"Terrible experience, not working as expected.",Negative,High
TKT-145516,C00009,Billing,"Cancel my subscription, too expensive.",Negative,Low
TKT-913795,C00010,Account,Just a general question about features.,Positive,High
TKT-427137,C00010,Billing,Update credit card info.,Neutral,Low
TKT-691681,C00011,Security,Just a general question about features.,Neutral,Medium
TKT-223232,C00011,Security,Just a general question about features.,Neutral,Low
TKT-873167,C00012,Integration,"Terrible experience, not working as expected.",Neutral,High
TKT-218620,C00012,Billing,Why did my price go up?,Negative,Low
TKT-495056,C00012,Technical,Can't log in since yesterday.,Negative,Low
TKT-610443,C00012,Performance,"Terrible experience, not working as expected.",Neutral,Low
TKT-846694,C00013,Feature Request,Just a general question about features.,Neutral,Low
TKT-841912,C00014,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-961954,C00014,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-453747,C00014,Account,"Terrible experience, not working as expected.",Neutral,Low
TKT-837761,C00014,Technical,Can't log in since yesterday.,Negative,Medium
TKT-426177,C00014,Security,"Terrible experience, not working as expected.",Neutral,Medium
TKT-193847,C00014,Billing,"Cancel my subscription, too expensive.",Negative,Medium
TKT-376682,C00014,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-648739,C00015,Feature Request,"Terrible experience, not working as expected.",Neutral,Low
TKT-297057,C00015,Integration,"Terrible experience, not working as expected.",Negative,Low
TKT-391333,C00015,Technical,Your API is too slow and throwing 500 errors.,Negative,Low
TKT-873564,C00015,Integration,"Terrible experience, not working as expected.",Negative,Low
TKT-265153,C00015,Integration,"Terrible experience, not working as expected.",Neutral,Low
TKT-841324,C00015,Technical,"System is always down, very frustrating.",Negative,Low
TKT-384356,C00016,Billing,Update credit card info.,Neutral,High
TKT-548942,C00016,Performance,Just a general question about features.,Neutral,High
TKT-166157,C00016,Technical,Need help setting up SSO.,Neutral,Low
TKT-280386,C00017,Feature Request,Just a general question about features.,Neutral,Medium
TKT-137154,C00017,Performance,Just a general question about features.,Negative,Low
TKT-405911,C00018,Performance,Just a general question about features.,Positive,Medium
TKT-801434,C00018,Technical,Works great but I have a question on API limits.,Positive,Low
TKT-881732,C00019,Feature Request,Just a general question about features.,Neutral,Low
TKT-750471,C00019,Security,Just a general question about features.,Negative,Low
TKT-950977,C00021,Account,Just a general question about features.,Positive,Medium
TKT-327908,C00022,Billing,Good service.,Neutral,Medium
TKT-810584,C00022,Billing,Update credit card info.,Neutral,Low
TKT-378351,C00023,Performance,Just a general question about features.,Positive,Medium
TKT-813943,C00023,Security,Just a general question about features.,Neutral,Low
TKT-417307,C00023,Account,Just a general question about features.,Positive,Low
TKT-873186,C00023,Account,Just a general question about features.,Neutral,High
TKT-745621,C00024,Performance,Just a general question about features.,Positive,Low
TKT-374194,C00025,Security,Just a general question about features.,Negative,High
TKT-144457,C00025,Integration,Just a general question about features.,Negative,Low
TKT-892300,C00026,Feature Request,Just a general question about features.,Negative,Low
TKT-663633,C00026,Integration,Just a general question about features.,Neutral,High
TKT-142467,C00026,Technical,How do I reset my password?,Positive,Medium
TKT-446637,C00026,Account,Just a general question about features.,Neutral,High
TKT-135742,C00027,Account,"Terrible experience, not working as expected.",Negative,Medium
TKT-803441,C00027,Feature Request,"Terrible experience, not working as expected.",Negative,Medium
TKT-428947,C00027,Integration,"Terrible experience, not working as expected.",Negative,Medium
TKT-995437,C00027,Billing,"Cancel my subscription, too expensive.",Neutral,High
TKT-819626,C00028,Technical,How do I reset my password?,Neutral,Low
TKT-793882,C00028,Security,Just a general question about features.,Neutral,Low
TKT-302026,C00028,Account,Just a general question about features.,Neutral,Medium
TKT-895090,C00029,Security,"Terrible experience, not working as expected.",Negative,High
TKT-535059,C00029,Performance,"Terrible experience, not working as expected.",Negative,High
TKT-433116,C00029,Performance,"Terrible experience, not working as expected.",Negative,Medium
TKT-715945,C00029,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-541032,C00029,Technical,"System is always down, very frustrating.",Negative,Medium
TKT-827941,C00030,Performance,Just a general question about features.,Neutral,Medium
TKT-235553,C00030,Account,Just a general question about features.,Negative,Low
TKT-182146,C00032,Account,Just a general question about features.,Positive,Low
TKT-448364,C00033,Billing,I was overcharged on my last invoice.,Negative,Medium
TKT-400178,C00033,Feature Request,"Terrible experience, not working as expected.",Negative,Medium
TKT-584664,C00033,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-364641,C00033,Technical,Can't log in since yesterday.,Neutral,High
TKT-656793,C00033,Feature Request,"Terrible experience, not working as expected.",Negative,Low
TKT-790827,C00034,Billing,I was overcharged on my last invoice.,Negative,High
TKT-463936,C00034,Feature Request,"Terrible experience, not working as expected.",Negative,High
TKT-966666,C00034,Billing,I was overcharged on my last invoice.,Negative,Low
TKT-853157,C00034,Security,"Terrible experience, not working as expected.",Negative,High
TKT-595404,C00035,Security,"Terrible experience, not working as expected.",Negative,Medium
TKT-147732,C00035,Security,"Terrible experience, not working as expected.",Negative,Medium
TKT-242835,C00035,Billing,Why did my price go up?,Negative,Low
TKT-306899,C00035,Billing,"Cancel my subscription, too expensive.",Negative,Low
TKT-398830,C00035,Billing,I was overcharged on my last invoice.,Negative,High
TKT-444129,C00036,Performance,Just a general question about features.,Neutral,Medium
TKT-298075,C00037,Security,Just a general question about features.,Positive,Low
TKT-118431,C00037,Feature Request,Just a general question about features.,Positive,Medium
TKT-753070,C00037,Feature Request,Just a general question about features.,Neutral,Low
TKT-549405,C00038,Technical,How do I reset my password?,Neutral,Low
TKT-108285,C00038,Security,Just a general question about features.,Positive,High
TKT-801317,C00038,Integration,Just a general question about features.,Neutral,Medium
TKT-340962,C00039,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-229519,C00039,Account,"Terrible experience, not working as expected.",Negative,High
TKT-910768,C00039,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-239464,C00039,Integration,"Terrible experience, not working as expected.",Negative,Low
TKT-199531,C00040,Integration,Just a general question about features.,Neutral,Low
TKT-360732,C00040,Feature Request,Just a general question about features.,Neutral,Medium
TKT-917131,C00040,Billing,Good service.,Negative,Medium
TKT-134280,C00041,Performance,"Terrible experience, not working as expected.",Neutral,Low
TKT-171996,C00041,Integration,"Terrible experience, not working as expected.",Negative,Medium
TKT-313693,C00041,Integration,"Terrible experience, not working as expected.",Negative,Low
TKT-194668,C00041,Integration,"Terrible experience, not working as expected.",Negative,Medium
TKT-151218,C00042,Integration,Just a general question about features.,Positive,Low
TKT-465811,C00043,Billing,Why did my price go up?,Negative,Medium
TKT-790563,C00043,Technical,Your API is too slow and throwing 500 errors.,Negative,Medium
TKT-338227,C00043,Performance,"Terrible experience, not working as expected.",Negative,High
TKT-380509,C00043,Billing,I was overcharged on my last invoice.,Neutral,Medium
TKT-650711,C00043,Billing,"Cancel my subscription, too expensive.",Negative,Low
TKT-249212,C00044,Billing,Can you send me last month's receipt?,Positive,Medium
TKT-625569,C00044,Security,Just a general question about features.,Neutral,High
TKT-102768,C00045,Integration,"Terrible experience, not working as expected.",Negative,Medium
TKT-320288,C00045,Integration,"Terrible experience, not working as expected.",Negative,Medium
TKT-430660,C00045,Billing,Why did my price go up?,Negative,Low
TKT-364221,C00045,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-571961,C00046,Security,Just a general question about features.,Neutral,Low
TKT-466394,C00047,Feature Request,Just a general question about features.,Neutral,Low
TKT-425717,C00047,Feature Request,Just a general question about features.,Positive,Medium
TKT-100837,C00047,Billing,Can you send me last month's receipt?,Negative,High
TKT-251988,C00047,Feature Request,Just a general question about features.,Positive,High
TKT-727353,C00047,Security,Just a general question about features.,Positive,Low
TKT-678164,C00049,Feature Request,"Terrible experience, not working as expected.",Negative,Low
TKT-815975,C00049,Account,"Terrible experience, not working as expected.",Negative,High
TKT-183558,C00049,Feature Request,"Terrible experience, not working as expected.",Negative,Medium
TKT-186357,C00049,Technical,"System is always down, very frustrating.",Neutral,Low
TKT-648498,C00049,Integration,"Terrible experience, not working as expected.",Negative,Low
TKT-682512,C00049,Billing,Why did my price go up?,Negative,Low
TKT-278493,C00050,Integration,Just a general question about features.,Positive,Low
TKT-167028,C00050,Security,Just a general question about features.,Neutral,High
TKT-300227,C00050,Billing,Can you send me last month's receipt?,Neutral,Low
TKT-304776,C00050,Performance,Just a general question about features.,Positive,High
TKT-613533,C00051,Feature Request,"Terrible experience, not working as expected.",Negative,Medium
TKT-537188,C00051,Billing,"Cancel my subscription, too expensive.",Negative,Medium
TKT-143307,C00051,Account,"Terrible experience, not working as expected.",Negative,High
TKT-925986,C00052,Security,Just a general question about features.,Neutral,Low
TKT-982781,C00052,Performance,Just a general question about features.,Positive,Low
TKT-463229,C00053,Security,Just a general question about features.,Neutral,High
TKT-204017,C00053,Feature Request,Just a general question about features.,Positive,Low
TKT-461991,C00054,Billing,Update credit card info.,Neutral,Low
TKT-116534,C00055,Billing,"Cancel my subscription, too expensive.",Negative,Low
TKT-800265,C00055,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-138600,C00055,Performance,"Terrible experience, not working as expected.",Negative,High
TKT-753128,C00055,Integration,"Terrible experience, not working as expected.",Negative,Low
TKT-968498,C00055,Technical,"System is always down, very frustrating.",Negative,Low
TKT-938950,C00055,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-298325,C00057,Performance,Just a general question about features.,Negative,Medium
TKT-480114,C00057,Security,Just a general question about features.,Neutral,Medium
TKT-887925,C00058,Security,Just a general question about features.,Positive,Low
TKT-549259,C00058,Integration,Just a general question about features.,Neutral,Low
TKT-467445,C00059,Performance,Just a general question about features.,Neutral,Low
TKT-773174,C00060,Performance,Just a general question about features.,Neutral,Medium
TKT-683157,C00060,Performance,Just a general question about features.,Neutral,Low
TKT-762631,C00060,Integration,Just a general question about features.,Positive,Medium
TKT-890407,C00060,Feature Request,Just a general question about features.,Neutral,High
TKT-600260,C00061,Performance,Just a general question about features.,Positive,High
TKT-571825,C00061,Account,Just a general question about features.,Neutral,Low
TKT-355907,C00061,Performance,Just a general question about features.,Positive,Medium
TKT-338253,C00062,Billing,Good service.,Neutral,Medium
TKT-343488,C00062,Security,Just a general question about features.,Neutral,Medium
TKT-594004,C00062,Security,Just a general question about features.,Positive,Medium
TKT-769545,C00063,Technical,How do I reset my password?,Neutral,High
TKT-118993,C00063,Performance,Just a general question about features.,Positive,Low
TKT-465863,C00063,Account,Just a general question about features.,Positive,High
TKT-489630,C00063,Feature Request,Just a general question about features.,Positive,Low
TKT-707323,C00064,Account,Just a general question about features.,Neutral,Medium
TKT-545482,C00065,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-913098,C00065,Billing,Why did my price go up?,Neutral,Medium
TKT-555756,C00065,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-715815,C00065,Billing,Why did my price go up?,Neutral,High
TKT-664297,C00066,Account,"Terrible experience, not working as expected.",Neutral,Medium
TKT-458545,C00066,Technical,Can't log in since yesterday.,Negative,Low
TKT-809558,C00066,Account,"Terrible experience, not working as expected.",Negative,Medium
TKT-144877,C00066,Billing,I was overcharged on my last invoice.,Neutral,Low
TKT-479981,C00066,Technical,Your API is too slow and throwing 500 errors.,Negative,Low
TKT-678754,C00066,Technical,"System is always down, very frustrating.",Negative,Medium
TKT-852915,C00068,Feature Request,Just a general question about features.,Positive,High
TKT-626787,C00068,Feature Request,Just a general question about features.,Positive,Low
TKT-401971,C00068,Billing,Update credit card info.,Positive,Low
TKT-189468,C00069,Feature Request,Just a general question about features.,Positive,Medium
TKT-499125,C00069,Feature Request,Just a general question about features.,Neutral,Low
TKT-701241,C00069,Account,Just a general question about features.,Positive,Low
TKT-885045,C00070,Account,Just a general question about features.,Neutral,Low
TKT-958777,C00070,Account,Just a general question about features.,Negative,Low
TKT-762970,C00070,Feature Request,Just a general question about features.,Negative,Low
TKT-123643,C00070,Performance,Just a general question about features.,Positive,Low
TKT-968854,C00070,Security,Just a general question about features.,Neutral,Low
TKT-111867,C00070,Performance,Just a general question about features.,Neutral,Low
TKT-771420,C00071,Technical,Your API is too slow and throwing 500 errors.,Neutral,Low
TKT-419670,C00071,Account,"Terrible experience, not working as expected.",Negative,High
TKT-430359,C00071,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-173664,C00071,Account,"Terrible experience, not working as expected.",Neutral,Low
TKT-723076,C00072,Feature Request,"Terrible experience, not working as expected.",Negative,High
TKT-881690,C00072,Billing,I was overcharged on my last invoice.,Negative,Low
TKT-107121,C00072,Account,"Terrible experience, not working as expected.",Neutral,High
TKT-794851,C00072,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-317808,C00073,Performance,Just a general question about features.,Positive,Low
TKT-395903,C00073,Technical,Need help setting up SSO.,Positive,High
TKT-959214,C00073,Account,Just a general question about features.,Neutral,Low
TKT-873847,C00073,Performance,Just a general question about features.,Neutral,Low
TKT-723108,C00074,Technical,Works great but I have a question on API limits.,Neutral,Low
TKT-548262,C00074,Integration,Just a general question about features.,Negative,Medium
TKT-593834,C00075,Integration,"Terrible experience, not working as expected.",Negative,Medium
TKT-446445,C00075,Security,"Terrible experience, not working as expected.",Negative,Medium
TKT-955979,C00075,Performance,"Terrible experience, not working as expected.",Neutral,Medium
TKT-966572,C00075,Feature Request,"Terrible experience, not working as expected.",Negative,Low
TKT-835818,C00075,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-455924,C00075,Security,"Terrible experience, not working as expected.",Neutral,High
TKT-130117,C00075,Billing,I was overcharged on my last invoice.,Negative,Low
TKT-737113,C00076,Billing,Update credit card info.,Positive,Medium
TKT-124145,C00076,Account,Just a general question about features.,Positive,Medium
TKT-126575,C00076,Performance,Just a general question about features.,Positive,High
TKT-283285,C00076,Account,Just a general question about features.,Negative,Low
TKT-422229,C00077,Billing,Can you send me last month's receipt?,Positive,Medium
TKT-598829,C00078,Technical,Works great but I have a question on API limits.,Negative,Medium
TKT-156254,C00078,Billing,Can you send me last month's receipt?,Neutral,High
TKT-194854,C00078,Integration,Just a general question about features.,Negative,High
TKT-502365,C00079,Performance,"Terrible experience, not working as expected.",Negative,High
TKT-683469,C00079,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-666139,C00079,Integration,"Terrible experience, not working as expected.",Negative,Medium
TKT-870014,C00080,Technical,Works great but I have a question on API limits.,Positive,Low
TKT-552988,C00081,Feature Request,Just a general question about features.,Neutral,Low
TKT-936672,C00081,Account,Just a general question about features.,Positive,High
TKT-933664,C00083,Performance,Just a general question about features.,Positive,Low
TKT-265557,C00084,Security,Just a general question about features.,Positive,Low
TKT-427967,C00084,Feature Request,Just a general question about features.,Positive,High
TKT-352931,C00084,Account,Just a general question about features.,Positive,High
TKT-869457,C00084,Integration,Just a general question about features.,Neutral,Low
TKT-145015,C00084,Account,Just a general question about features.,Positive,Low
TKT-182891,C00086,Performance,Just a general question about features.,Positive,High
TKT-101537,C00087,Billing,Good service.,Positive,Low
TKT-432907,C00087,Performance,Just a general question about features.,Neutral,High
TKT-301172,C00087,Billing,Update credit card info.,Neutral,High
TKT-507705,C00087,Security,Just a general question about features.,Neutral,Medium
TKT-753620,C00087,Account,Just a general question about features.,Positive,Low
TKT-865385,C00088,Performance,Just a general question about features.,Positive,Low
TKT-972243,C00088,Security,Just a general question about features.,Neutral,Medium
TKT-317257,C00088,Account,Just a general question about features.,Positive,High
TKT-681900,C00089,Account,"Terrible experience, not working as expected.",Negative,High
TKT-201111,C00089,Security,"Terrible experience, not working as expected.",Neutral,Low
TKT-238626,C00089,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-656576,C00089,Technical,"System is always down, very frustrating.",Negative,Low
TKT-393290,C00089,Integration,"Terrible experience, not working as expected.",Neutral,Low
TKT-329436,C00089,Integration,"Terrible experience, not working as expected.",Negative,High
TKT-668488,C00091,Billing,"Cancel my subscription, too expensive.",Negative,Low
TKT-885182,C00091,Integration,"Terrible experience, not working as expected.",Negative,Medium
TKT-386451,C00091,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-760973,C00091,Billing,"Cancel my subscription, too expensive.",Neutral,Low
TKT-570379,C00091,Feature Request,"Terrible experience, not working as expected.",Negative,Low
TKT-957711,C00091,Integration,"Terrible experience, not working as expected.",Negative,High
TKT-465241,C00092,Feature Request,Just a general question about features.,Neutral,Low
TKT-591338,C00093,Account,Just a general question about features.,Neutral,Low
TKT-858502,C00093,Security,Just a general question about features.,Positive,Low
TKT-613344,C00094,Feature Request,Just a general question about features.,Neutral,High
TKT-370107,C00094,Account,Just a general question about features.,Positive,Medium
TKT-997484,C00094,Billing,Good service.,Positive,Low
TKT-810431,C00095,Billing,Can you send me last month's receipt?,Neutral,Medium
TKT-294930,C00095,Technical,Works great but I have a question on API limits.,Positive,High
TKT-779787,C00096,Performance,Just a general question about features.,Neutral,Medium
TKT-531127,C00097,Billing,Good service.,Positive,Low
TKT-226841,C00097,Technical,Works great but I have a question on API limits.,Positive,Medium
TKT-835375,C00097,Billing,Can you send me last month's receipt?,Negative,High
TKT-670851,C00097,Account,Just a general question about features.,Positive,Low
TKT-556490,C00098,Billing,Can you send me last month's receipt?,Positive,High
TKT-962528,C00098,Performance,Just a general question about features.,Neutral,High
TKT-514226,C00098,Integration,Just a general question about features.,Negative,High
TKT-743687,C00099,Technical,Your API is too slow and throwing 500 errors.,Neutral,Low
TKT-999615,C00099,Technical,Your API is too slow and throwing 500 errors.,Negative,High
TKT-791802,C00099,Performance,"Terrible experience, not working as expected.",Neutral,Low
TKT-544063,C00099,Billing,"Cancel my subscription, too expensive.",Negative,Low
TKT-577589,C00099,Billing,I was overcharged on my last invoice.,Neutral,Medium
TKT-992914,C00100,Billing,Why did my price go up?,Negative,Low
TKT-975300,C00100,Security,"Terrible experience, not working as expected.",Negative,High
TKT-737801,C00100,Technical,Your API is too slow and throwing 500 errors.,Negative,Medium
TKT-147741,C00100,Account,"Terrible experience, not working as expected.",Neutral,Low
TKT-580768,C00101,Billing,Update credit card info.,Negative,Medium
TKT-357441,C00101,Billing,Good service.,Negative,High
TKT-247115,C00103,Account,Just a general question about features.,Neutral,Low
TKT-427103,C00103,Feature Request,Just a general question about features.,Positive,Medium
TKT-468155,C00103,Feature Request,Just a general question about features.,Neutral,Low
TKT-918160,C00103,Feature Request,Just a general question about features.,Positive,High
TKT-272562,C00103,Integration,Just a general question about features.,Negative,Medium
TKT-740002,C00104,Security,Just a general question about features.,Neutral,High
TKT-220077,C00104,Account,Just a general question about features.,Positive,Low
TKT-538441,C00104,Account,Just a general question about features.,Positive,Low
TKT-534741,C00105,Account,"Terrible experience, not working as expected.",Neutral,High
TKT-191386,C00105,Billing,"Cancel my subscription, too expensive.",Negative,Medium
TKT-507537,C00105,Feature Request,"Terrible experience, not working as expected.",Negative,Low
TKT-870044,C00105,Technical,Can't log in since yesterday.,Negative,Medium
TKT-983774,C00105,Technical,Your API is too slow and throwing 500 errors.,Negative,Medium
TKT-891518,C00106,Technical,How do I reset my password?,Positive,Low
TKT-948560,C00106,Security,Just a general question about features.,Positive,High
TKT-439066,C00106,Security,Just a general question about features.,Neutral,Low
TKT-997216,C00106,Technical,How do I reset my password?,Positive,Medium
TKT-644806,C00106,Account,Just a general question about features.,Positive,Low
TKT-308023,C00106,Account,Just a general question about features.,Positive,Low
TKT-388373,C00106,Integration,Just a general question about features.,Neutral,Medium
TKT-343423,C00106,Security,Just a general question about features.,Negative,Medium
TKT-720640,C00107,Performance,Just a general question about features.,Neutral,Low
TKT-338675,C00108,Technical,How do I reset my password?,Positive,Low
TKT-836219,C00108,Security,Just a general question about features.,Positive,Low
TKT-100717,C00109,Account,Just a general question about features.,Neutral,Medium
TKT-791921,C00109,Feature Request,Just a general question about features.,Neutral,Medium
TKT-355920,C00110,Billing,Update credit card info.,Neutral,Low
TKT-567821,C00111,Technical,How do I reset my password?,Neutral,High
TKT-732400,C00111,Performance,Just a general question about features.,Positive,Low
TKT-821064,C00111,Feature Request,Just a general question about features.,Positive,Low
TKT-735964,C00111,Performance,Just a general question about features.,Neutral,High
TKT-627606,C00112,Account,Just a general question about features.,Positive,High
TKT-961146,C00113,Security,Just a general question about features.,Positive,Low
TKT-701604,C00113,Security,Just a general question about features.,Positive,Medium
TKT-641534,C00114,Performance,Just a general question about features.,Negative,Medium
TKT-591204,C00114,Feature Request,Just a general question about features.,Neutral,High
TKT-141902,C00115,Feature Request,Just a general question about features.,Neutral,Low
TKT-238539,C00115,Performance,Just a general question about features.,Positive,Low
TKT-250552,C00115,Technical,Need help setting up SSO.,Neutral,High
TKT-826843,C00115,Security,Just a general question about features.,Neutral,Medium
TKT-838292,C00115,Billing,Can you send me last month's receipt?,Positive,Medium
TKT-114722,C00116,Technical,Can't log in since yesterday.,Negative,High
TKT-711383,C00116,Performance,"Terrible experience, not working as expected.",Negative,Medium
TKT-595389,C00116,Billing,"Cancel my subscription, too expensive.",Neutral,Low
TKT-799446,C00117,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-579980,C00117,Integration,"Terrible experience, not working as expected.",Negative,High
TKT-266573,C00117,Billing,Why did my price go up?,Negative,Medium
TKT-730373,C00117,Account,"Terrible experience, not working as expected.",Neutral,Low
TKT-566335,C00117,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-818057,C00119,Integration,Just a general question about features.,Positive,Medium
TKT-240005,C00119,Integration,Just a general question about features.,Positive,Medium
TKT-355160,C00119,Integration,Just a general question about features.,Positive,Medium
TKT-429785,C00120,Feature Request,"Terrible experience, not working as expected.",Negative,High
TKT-618250,C00120,Feature Request,"Terrible experience, not working as expected.",Negative,Low
TKT-655301,C00120,Feature Request,"Terrible experience, not working as expected.",Neutral,High
TKT-690255,C00120,Billing,Why did my price go up?,Negative,High
TKT-933894,C00120,Account,"Terrible experience, not working as expected.",Negative,Medium
TKT-155722,C00120,Technical,"System is always down, very frustrating.",Negative,High
TKT-633258,C00121,Billing,I was overcharged on my last invoice.,Negative,Medium
TKT-106956,C00121,Performance,"Terrible experience, not working as expected.",Negative,High
TKT-883510,C00121,Security,"Terrible experience, not working as expected.",Negative,Medium
TKT-443738,C00121,Integration,"Terrible experience, not working as expected.",Negative,High
TKT-255590,C00121,Technical,Your API is too slow and throwing 500 errors.,Negative,Medium
TKT-221957,C00122,Billing,Good service.,Neutral,High
TKT-972727,C00122,Feature Request,Just a general question about features.,Neutral,Low
TKT-560758,C00122,Billing,Good service.,Positive,Medium
TKT-999384,C00123,Feature Request,"Terrible experience, not working as expected.",Negative,Low
TKT-308849,C00123,Feature Request,"Terrible experience, not working as expected.",Neutral,Medium
TKT-868471,C00123,Account,"Terrible experience, not working as expected.",Negative,High
TKT-359484,C00123,Technical,"System is always down, very frustrating.",Negative,Low
TKT-933301,C00123,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-335458,C00124,Security,Just a general question about features.,Positive,Medium
TKT-756050,C00125,Integration,Just a general question about features.,Neutral,High
TKT-663223,C00126,Feature Request,Just a general question about features.,Neutral,High
TKT-803643,C00126,Performance,Just a general question about features.,Positive,Low
TKT-744823,C00127,Billing,Good service.,Positive,Medium
TKT-900795,C00128,Technical,How do I reset my password?,Negative,Low
TKT-322682,C00129,Account,Just a general question about features.,Positive,High
TKT-120812,C00129,Technical,Works great but I have a question on API limits.,Neutral,Low
TKT-250801,C00129,Security,Just a general question about features.,Positive,Low
TKT-462178,C00129,Account,Just a general question about features.,Positive,Low
TKT-245756,C00130,Account,Just a general question about features.,Positive,Medium
TKT-517814,C00131,Feature Request,Just a general question about features.,Positive,High
TKT-658676,C00131,Technical,Works great but I have a question on API limits.,Neutral,Low
TKT-791128,C00131,Account,Just a general question about features.,Positive,Low
TKT-882784,C00131,Account,Just a general question about features.,Negative,Medium
TKT-621285,C00131,Billing,Good service.,Neutral,Low
TKT-194495,C00132,Technical,Need help setting up SSO.,Neutral,High
TKT-860722,C00132,Account,Just a general question about features.,Negative,Low
TKT-177906,C00132,Billing,Can you send me last month's receipt?,Negative,Low
TKT-192812,C00132,Billing,Update credit card info.,Positive,Low
TKT-525878,C00133,Security,Just a general question about features.,Positive,High
TKT-145830,C00133,Technical,Need help setting up SSO.,Neutral,Medium
TKT-620284,C00135,Technical,Need help setting up SSO.,Positive,High
TKT-474749,C00135,Performance,Just a general question about features.,Neutral,Low
TKT-262067,C00135,Technical,How do I reset my password?,Neutral,High
TKT-351266,C00136,Integration,Just a general question about features.,Negative,Low
TKT-127955,C00137,Performance,Just a general question about features.,Neutral,Low
TKT-495368,C00137,Security,Just a general question about features.,Positive,High
TKT-768562,C00137,Security,Just a general question about features.,Positive,Medium
TKT-206000,C00138,Performance,Just a general question about features.,Positive,High
TKT-539805,C00138,Feature Request,Just a general question about features.,Neutral,Low
TKT-944352,C00138,Account,Just a general question about features.,Neutral,Low
TKT-284185,C00139,Security,Just a general question about features.,Negative,Low
TKT-911088,C00140,Performance,Just a general question about features.,Neutral,Low
TKT-736424,C00140,Technical,How do I reset my password?,Positive,Medium
TKT-773374,C00141,Performance,Just a general question about features.,Negative,Low
TKT-204092,C00141,Integration,Just a general question about features.,Neutral,Low
TKT-499700,C00141,Integration,Just a general question about features.,Positive,Medium
TKT-660129,C00141,Integration,Just a general question about features.,Neutral,Low
TKT-936210,C00142,Technical,Can't log in since yesterday.,Neutral,Low
TKT-549285,C00142,Security,"Terrible experience, not working as expected.",Negative,Low
